School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2015-16,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,School Level Code [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Includes AE) [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,Male Students [Public School] 2015-16,Female Students [Public School] 2015-16,State Name [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16
CROFTON MEADOWS ELEMENTARY,Maryland,MD ,Crofton Meadows Elementary,Anne Arundel County,CROFTON,MD ,1-Regular school,2-No,2-No,1-Primary,576,576,24,77,375,576,284,292,MARYLAND,33.3,17.3
CROFTON MIDDLE,Maryland,MD ,Crofton Middle,Anne Arundel County,GAMBRILLS,MD ,1-Regular school,2-No,2-No,2-Middle,1097,1097,71,184,719,1097,538,559,MARYLAND,64.38,17.04
CROFTON WOODS ELEMENTARY,Maryland,MD ,Crofton Woods Elementary,Anne Arundel County,CROFTON,MD ,1-Regular school,2-No,2-No,1-Primary,673,673,37,24,517,673,358,315,MARYLAND,37.75,17.83
CROMWELL VALLEY ELEMENTARY TECHNOLOGY,Maryland,MD ,Cromwell Valley Elementary Technology,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,1-Yes,1-Primary,347,347,29,96,202,347,188,159,MARYLAND,24.7,14.05
CROOM HIGH,Maryland,MD ,Croom High,Prince George's County,CHELTENHAM,MD ,3-Vocational school,2-No,2-No,3-High,96,96,1,90,0,96,61,35,MARYLAND,17,5.65
CROSS COUNTRY ELEMENTARY,Maryland,MD ,Cross Country Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,749,749,1,665,14,749,408,341,MARYLAND,44.5,16.83
CROSSLAND EVENING/SATURDAY HIGH,Maryland,MD ,Crossland Evening/Saturday High,Prince George's County,TEMPLE HILLS,MD ,4-Alternative/other school,2-No,2-No,3-High,95,95,4,77,1,95,61,34,MARYLAND,–,–
CROSSLAND HIGH,Maryland,MD ,Crossland High,Prince George's County,TEMPLE HILLS,MD ,1-Regular school,2-No,1-Yes,3-High,1057,1057,20,814,5,1057,527,530,MARYLAND,78,13.55
CROSSROADS CENTER,Maryland,MD ,Crossroads Center,Baltimore County,BALTIMORE,MD ,4-Alternative/other school,2-No,2-No,4-Other,178,178,1,84,74,178,116,62,MARYLAND,24.5,7.27
CROSSROADS MIDDLE SCHOOL,Maryland,MD ,Crossroads Middle School,Carroll County,WESTMINSTER,MD ,4-Alternative/other school,2-No,2-No,2-Middle,13,13,0,2,10,13,9,4,MARYLAND,3.6,3.61
CURTIS BAY ELEMENTARY,Maryland,MD ,Curtis Bay Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,610,610,2,267,269,610,305,305,MARYLAND,33,18.48
DALLAS F. NICHOLAS SR. ELEMENTARY,Maryland,MD ,Dallas F. Nicholas Sr. Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,295,295,12,257,3,295,152,143,MARYLAND,20,14.75
DAMASCUS ELEMENTARY,Maryland,MD ,Damascus Elementary,Montgomery County,DAMASCUS,MD ,1-Regular school,2-No,2-No,1-Primary,336,336,10,21,191,336,144,192,MARYLAND,23.8,14.12
DAMASCUS HIGH,Maryland,MD ,Damascus High,Montgomery County,DAMASCUS,MD ,1-Regular school,2-No,2-No,3-High,1209,1209,82,127,726,1209,597,612,MARYLAND,71,17.03
DANIEL OF ST. THOMAS JENIFER ELEMENTARY SCHOOL,MARYLAND,MD ,Daniel of St. Thomas Jenifer Elementary School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,1-Primary,616,616,48,387,76,616,320,296,MARYLAND,35.72,17.25
DARLINGTON ELEMENTARY,Maryland,MD ,Darlington Elementary,Harford County,DARLINGTON,MD ,1-Regular school,2-No,2-No,1-Primary,122,122,1,8,107,122,69,53,MARYLAND,12.35,9.88
DARNESTOWN ELEMENTARY,Maryland,MD ,Darnestown Elementary,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,290,290,27,14,216,290,154,136,MARYLAND,17,17.06
DAVIDSONVILLE ELEMENTARY,Maryland,MD ,Davidsonville Elementary,Anne Arundel County,DAVIDSONVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,683,683,7,21,605,683,360,323,MARYLAND,36.8,18.56
DAYTON OAKS,Maryland,MD ,Dayton Oaks,Howard County,DAYTON,MD ,1-Regular school,2-No,2-No,1-Primary,646,646,149,44,398,646,344,302,MARYLAND,44.8,14.42
DEAL ISLAND SCHOOL,Maryland,MD ,Deal Island School,Somerset County,DEAL ISLAND,MD ,1-Regular school,2-No,2-No,1-Primary,108,108,3,12,89,108,49,59,MARYLAND,8.97,12.04
DEALE ELEMENTARY,Maryland,MD ,Deale Elementary,Anne Arundel County,DEALE,MD ,1-Regular school,2-No,2-No,1-Primary,244,244,1,8,206,244,125,119,MARYLAND,17.7,13.79
DEEP CREEK ELEMENTARY,Maryland,MD ,Deep Creek Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,413,413,2,299,52,413,213,200,MARYLAND,29.1,14.19
DEEP CREEK MIDDLE,Maryland,MD ,Deep Creek Middle,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,1-Yes,2-Middle,836,836,13,441,249,836,436,400,MARYLAND,50,16.72
DEEP RUN ELEMENTARY,Maryland,MD ,Deep Run Elementary,Howard County,ELKRIDGE,MD ,1-Regular school,2-No,2-No,1-Primary,810,810,144,110,227,810,420,390,MARYLAND,65.1,12.44
DEER CROSSING ELEMENTARY,Maryland,MD ,Deer Crossing Elementary,Frederick County,NEW MARKET,MD ,1-Regular school,2-No,2-No,1-Primary,737,737,11,14,651,737,393,344,MARYLAND,46,16.02
DEER PARK ELEMENTARY,Maryland,MD ,Deer Park Elementary,Baltimore County,OWINGS MILLS,MD ,1-Regular school,2-No,2-No,1-Primary,467,467,9,439,5,467,226,241,MARYLAND,27.6,16.92
DEER PARK MIDDLE MAGNET SCHOOL,Maryland,MD ,Deer Park Middle Magnet School,Baltimore County,RANDALLSTOWN,MD ,1-Regular school,2-No,1-Yes,2-Middle,1266,1266,26,1120,29,1266,629,637,MARYLAND,76,16.66
DEERFIELD ELEMENTARY,Maryland,MD ,Deerfield Elementary,Harford County,EDGEWOOD,MD ,1-Regular school,2-No,2-No,1-Primary,797,797,13,368,247,797,424,373,MARYLAND,54.54,14.61
DEERFIELD RUN ELEMENTARY,Maryland,MD ,Deerfield Run Elementary,Prince George's County,LAUREL,MD ,1-Regular school,2-No,2-No,1-Primary,639,639,10,419,19,639,323,316,MARYLAND,38.4,16.64
DELMAR ELEMENTARY,Maryland,MD ,Delmar Elementary,Wicomico County,DELMAR,MD ,1-Regular school,2-No,2-No,1-Primary,853,853,18,117,565,853,429,424,MARYLAND,50,17.06
DENTON ELEMENTARY SCHOOL,Maryland,MD ,Denton Elementary School,Caroline County,DENTON,MD ,1-Regular school,2-No,2-No,1-Primary,665,665,14,105,432,665,341,324,MARYLAND,47,14.15
DIAMOND ELEMENTARY,Maryland,MD ,Diamond Elementary,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,665,665,296,64,192,665,351,314,MARYLAND,40.8,16.3
DICKEY HILL ELEMENTARY/MIDDLE,Maryland,MD ,Dickey Hill Elementary/Middle,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,347,347,1,336,3,347,180,167,MARYLAND,21,16.52
DIGITAL HARBOR HIGH SCHOOL,Maryland,MD ,Digital Harbor High School,Baltimore city,BALTIMORE,MD ,3-Vocational school,2-No,2-No,3-High,1484,1484,19,1108,148,1484,921,563,MARYLAND,86,17.26
DISTRICT HEIGHTS ELEMENTARY,Maryland,MD ,District Heights Elementary,Prince George's County,DISTRICT HEIGHTS,MD ,1-Regular school,2-No,2-No,1-Primary,497,497,0,454,1,497,264,233,MARYLAND,29.16,17.04
DODGE PARK ELEMENTARY,Maryland,MD ,Dodge Park Elementary,Prince George's County,LANDOVER,MD ,1-Regular school,2-No,2-No,1-Primary,563,563,7,342,18,563,297,266,MARYLAND,39.3,14.33
DOGWOOD ELEMENTARY,Maryland,MD ,Dogwood Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,659,659,33,538,15,659,314,345,MARYLAND,38.3,17.21
DORA KENNEDY FRENCH IMMERSION,Maryland,MD ,Dora Kennedy French Immersion,Prince George's County,SEABROOK,MD ,1-Regular school,2-No,1-Yes,1-Primary,651,651,11,514,78,651,287,364,MARYLAND,43.5,14.97
DORCHESTER COUNTY CAREER AND TECHNOLOGY CENTER,Maryland,MD ,Dorchester County Career and Technology Center,Dorchester County,CAMBRIDGE,MD ,3-Vocational school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,19,†
DOSWELL E. BROOKS ELEMENTARY,Maryland,MD ,Doswell E. Brooks Elementary,Prince George's County,CAPITAL HEIGHTS,MD ,1-Regular school,2-No,2-No,1-Primary,236,236,1,212,0,236,112,124,MARYLAND,17.36,13.59
DOWELL ELEMENTARY,Maryland,MD ,Dowell Elementary,Calvert County,LUSBY,MD ,1-Regular school,2-No,2-No,1-Primary,651,651,13,71,457,651,311,340,MARYLAND,38.5,16.91
DR. BERNARD HARRIS SR. ELEMENTARY,Maryland,MD ,Dr. Bernard Harris Sr. Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,498,498,3,489,2,498,240,258,MARYLAND,29,17.17
DR. CARTER GODWIN WOODSON,Maryland,MD ,Dr. Carter Godwin Woodson,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,353,353,0,333,10,353,189,164,MARYLAND,22.5,15.69
DR. CHARLES R. DREW ELEMENTARY,Maryland,MD ,Dr. Charles R. Drew Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,1-Yes,1-Primary,488,488,87,219,46,488,249,239,MARYLAND,33,14.79
DR. GUSTAVUS BROWN ELEMENTARY,Maryland,MD ,Dr. Gustavus Brown Elementary,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,1-Primary,441,441,3,266,84,441,223,218,MARYLAND,30.72,14.36
DR. HENRY A. WISE JR. HIGH,Maryland,MD ,Dr. Henry A. Wise Jr. High,Prince George's County,UPPER MARLBORO,MD ,1-Regular school,2-No,2-No,3-High,2178,2178,15,1974,29,2178,1068,1110,MARYLAND,122,17.85
DR. JAMES A. FORREST CAREER AND TECHNOLOGY CENTER,Maryland,MD ,Dr. James A. Forrest Career and Technology Center,St. Mary's County,LEONARDTOWN,MD ,3-Vocational school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,24,†
DR. JAMES CRAIK ELEMENTARY SCHOOL,Maryland,MD ,Dr. James Craik Elementary School,Charles County,POMFRET,MD ,1-Regular school,2-No,2-No,1-Primary,490,490,21,90,308,490,247,243,MARYLAND,30.93,15.84
DR. MARTIN LUTHER KING JR. ELEMENTARY,Maryland,MD ,Dr. Martin Luther King Jr. Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,307,307,0,302,2,307,161,146,MARYLAND,18.5,16.59
DR. NATHAN A. PITTS-ASHBURTON ELEMENTARY/MIDDLE,Maryland,MD ,Dr. Nathan A. Pitts-Ashburton Elementary/Middle,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,438,438,1,421,3,438,225,213,MARYLAND,21.5,20.37
DR. RAYNER BROWNE ELEMENTARY,Maryland,MD ,Dr. Rayner Browne Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,†,†,†,†,†,†,†,0,†,†,MARYLAND,†,†
DR. SALLY K. RIDE ELEMENTARY,Maryland,MD ,Dr. Sally K. Ride Elementary,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,515,515,90,208,61,515,286,229,MARYLAND,38.7,13.31
DR. SAMUEL A. MUDD ELEMENTARY SCHOOL,Maryland,MD ,Dr. Samuel A. Mudd Elementary School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,1-Primary,407,407,5,233,57,407,224,183,MARYLAND,30.96,13.15
DR. THOMAS L. HIGDON ELEMENTARY,Maryland,MD ,Dr. Thomas L. Higdon Elementary,Charles County,NEWBURG,MD ,1-Regular school,2-No,2-No,1-Primary,437,437,7,45,331,437,245,192,MARYLAND,28.35,15.41
DREW FREEMAN MIDDLE,Maryland,MD ,Drew Freeman Middle,Prince George's County,SUITLAND,MD ,1-Regular school,2-No,2-No,2-Middle,639,639,6,543,5,639,330,309,MARYLAND,47.2,13.54
DUBLIN ELEMENTARY,Maryland,MD ,Dublin Elementary,Harford County,STREET,MD ,1-Regular school,2-No,2-No,1-Primary,266,266,1,9,236,266,141,125,MARYLAND,18.2,14.62
DUCKETTS LANE,Maryland,MD ,Ducketts Lane,Howard County,ELKRIDGE,MD ,1-Regular school,2-No,2-No,1-Primary,769,769,148,262,192,769,381,388,MARYLAND,61,12.61
DUFIEF ELEMENTARY,Maryland,MD ,DuFief Elementary,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,313,313,97,23,134,313,155,158,MARYLAND,24,13.04
DULANEY HIGH,Maryland,MD ,Dulaney High,Baltimore County,TIMONIUM,MD ,1-Regular school,2-No,2-No,3-High,1851,1851,247,344,1054,1851,909,942,MARYLAND,101.5,18.24
DUMBARTON MIDDLE,Maryland,MD ,Dumbarton Middle,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,1096,1096,100,113,714,1096,568,528,MARYLAND,63.2,17.34
DUNDALK ELEMENTARY,Maryland,MD ,Dundalk Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,738,738,8,274,274,738,377,361,MARYLAND,44.1,16.73
DUNDALK HIGH,Maryland,MD ,Dundalk High,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,1432,1432,50,403,651,1432,776,656,MARYLAND,102,14.04
DUNDALK MIDDLE,Maryland,MD ,Dundalk Middle,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,633,633,18,211,236,633,307,326,MARYLAND,45,14.07
DUNLOGGIN MIDDLE,Maryland,MD ,Dunloggin Middle,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,2-Middle,609,609,204,112,223,609,308,301,MARYLAND,41,14.85
DUVAL HIGH,Maryland,MD ,Duval High,Prince George's County,LANHAM,MD ,1-Regular school,2-No,1-Yes,3-High,1708,1708,35,1134,28,1708,885,823,MARYLAND,101,16.91
DWIGHT D. EISENHOWER MIDDLE,Maryland,MD ,Dwight D. Eisenhower Middle,Prince George's County,LAUREL,MD ,1-Regular school,2-No,2-No,2-Middle,923,923,31,530,44,923,463,460,MARYLAND,58.66,15.73
DYNARD ELEMENTARY,Maryland,MD ,Dynard Elementary,St. Mary's County,CHAPTICO,MD ,1-Regular school,2-No,2-No,1-Primary,469,469,2,43,368,469,249,220,MARYLAND,25,18.76
E. RUSSELL HICKS MIDDLE,Maryland,MD ,E. Russell Hicks Middle,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,1-Yes,2-Middle,799,799,25,162,425,799,396,403,MARYLAND,52.16,15.32
EAGER STREET ACADEMY,Maryland,MD ,Eager Street Academy,Baltimore city,BALTIMORE,MD ,4-Alternative/other school,2-No,2-No,3-High,12,12,0,12,0,12,12,0,MARYLAND,8,1.5
EARLE B. WOOD MIDDLE,Maryland,MD ,Earle B. Wood Middle,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,970,970,111,129,312,970,501,469,MARYLAND,66.7,14.54
EAST SALISBURY ELEMENTARY,Maryland,MD ,East Salisbury Elementary,Wicomico County,SALISBURY,MD ,1-Regular school,2-No,2-No,1-Primary,445,445,10,190,124,445,224,221,MARYLAND,35,12.71
EAST SILVER SPRING ELEMENTARY,Maryland,MD ,East Silver Spring Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,554,554,20,310,87,554,282,272,MARYLAND,42.78,12.95
EASTERN ELEMENTARY,Maryland,MD ,Eastern Elementary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,507,507,22,137,217,507,260,247,MARYLAND,34.9,14.53
EASTERN MIDDLE SCHOOL,Maryland,MD ,Eastern Middle School,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,1-Yes,2-Middle,905,905,124,157,218,905,405,500,MARYLAND,59.4,15.24
EASTERN TECHNICAL HIGH SCHOOL,Maryland,MD ,Eastern Technical High School,Baltimore County,BALTIMORE,MD ,3-Vocational school,2-No,1-Yes,3-High,1175,1175,215,233,641,1175,550,625,MARYLAND,64,18.36
EASTON ELEMENTARY,Maryland,MD ,Easton Elementary,Talbot County,EASTON,MD ,1-Regular school,2-No,2-No,1-Primary,1105,1105,28,238,473,1105,570,535,MARYLAND,79.8,13.85
EASTON HIGH,Maryland,MD ,Easton High,Talbot County,EASTON,MD ,1-Regular school,2-No,2-No,3-High,1094,1094,29,170,720,1094,591,503,MARYLAND,67.16,16.29
EASTON MIDDLE,Maryland,MD ,Easton Middle,Talbot County,EASTON,MD ,1-Regular school,2-No,2-No,2-Middle,791,791,13,142,486,791,383,408,MARYLAND,48,16.48
EASTPORT ELEMENTARY,Maryland,MD ,Eastport Elementary,Anne Arundel County,ANNAPOLIS,MD ,1-Regular school,2-No,2-No,1-Primary,260,260,2,141,36,260,125,135,MARYLAND,23.8,10.92
EBB VALLEY ELEMENTARY,Maryland,MD ,Ebb Valley Elementary,Carroll County,MANCHESTER,MD ,1-Regular school,2-No,2-No,1-Primary,480,480,13,11,415,480,253,227,MARYLAND,32.5,14.77
EDGECOMBE CIRCLE ELEMENTARY,Maryland,MD ,Edgecombe Circle Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,366,366,0,348,12,366,208,158,MARYLAND,21,17.43
EDGEMERE ELEMENTARY,Maryland,MD ,Edgemere Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,485,485,12,26,407,485,257,228,MARYLAND,28.7,16.9
EDGEWATER ELEMENTARY,Maryland,MD ,Edgewater Elementary,Anne Arundel County,EDGEWATER,MD ,1-Regular school,2-No,2-No,1-Primary,547,547,25,14,357,547,268,279,MARYLAND,33.6,16.28
EDGEWOOD ELEMENTARY,Maryland,MD ,Edgewood Elementary,Harford County,EDGEWOOD,MD ,1-Regular school,2-No,2-No,1-Primary,391,391,4,206,77,391,210,181,MARYLAND,34.03,11.49
EDGEWOOD ELEMENTARY,Maryland,MD ,Edgewood Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,261,261,0,251,3,261,139,122,MARYLAND,19.5,13.38
EDGEWOOD HIGH,Maryland,MD ,Edgewood High,Harford County,EDGEWOOD,MD ,1-Regular school,2-No,2-No,3-High,1310,1310,33,592,528,1310,654,656,MARYLAND,84.93,15.42
EDGEWOOD MIDDLE,Maryland,MD ,Edgewood Middle,Harford County,EDGEWOOD,MD ,1-Regular school,2-No,2-No,2-Middle,1062,1062,34,452,369,1062,542,520,MARYLAND,81.34,13.06
EDMONDSON HEIGHTS ELEMENTARY,Maryland,MD ,Edmondson Heights Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,599,599,12,471,35,599,321,278,MARYLAND,36.8,16.28
EDMONDSON-WESTSIDE HIGH,Maryland,MD ,Edmondson-Westside High,Baltimore city,BALTIMORE,MD ,3-Vocational school,2-No,2-No,3-High,858,858,1,837,11,858,478,380,MARYLAND,58,14.79
EDWARD M. FELEGY ES,MARYLAND,MD ,Edward M. Felegy ES,Prince George's County,HYATTSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,796,796,12,209,9,796,377,419,MARYLAND,56,14.21
ELDERSBURG ELEMENTARY,Maryland,MD ,Eldersburg Elementary,Carroll County,SYKESVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,474,474,41,27,374,474,240,234,MARYLAND,33.7,14.07
ELEANOR ROOSEVELT HIGH,Maryland,MD ,Eleanor Roosevelt High,Prince George's County,GREENBELT,MD ,1-Regular school,2-No,1-Yes,3-High,2506,2506,269,1441,313,2506,1207,1299,MARYLAND,128.5,19.5
ELK NECK ELEMENTARY,Maryland,MD ,Elk Neck Elementary,Cecil County,ELKTON,MD ,1-Regular school,2-No,2-No,1-Primary,408,408,4,5,364,408,206,202,MARYLAND,26,15.69
ELKRIDGE ELEMENTARY,Maryland,MD ,Elkridge Elementary,Howard County,ELKRIDGE,MD ,1-Regular school,2-No,2-No,1-Primary,808,808,100,173,421,808,407,401,MARYLAND,57,14.18
ELKRIDGE LANDING MIDDLE,Maryland,MD ,Elkridge Landing Middle,Howard County,ELKRIDGE,MD ,1-Regular school,2-No,2-No,2-Middle,734,734,97,109,422,734,367,367,MARYLAND,54,13.59
ELKTON HIGH,Maryland,MD ,Elkton High,Cecil County,ELKTON,MD ,1-Regular school,2-No,2-No,3-High,1026,1026,17,253,567,1026,557,469,MARYLAND,76,13.5
ELKTON MIDDLE,Maryland,MD ,Elkton Middle,Cecil County,ELKTON,MD ,1-Regular school,2-No,2-No,2-Middle,554,554,10,156,266,554,295,259,MARYLAND,54,10.26
ELLICOTT MILLS MIDDLE,Maryland,MD ,Ellicott Mills Middle,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,2-Middle,808,808,236,121,369,808,387,421,MARYLAND,55,14.69
ELMER A. HENDERSON: A JOHNS HOPKINS PARTNERSHIP SC,Maryland,MD ,Elmer A. Henderson: A Johns Hopkins Partnership Sc,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,567,567,2,546,5,567,286,281,MARYLAND,35,16.2
ELMER A. WOLFE ELEMENTARY,Maryland,MD ,Elmer A. Wolfe Elementary,Carroll County,UNION BRIDGE,MD ,1-Regular school,2-No,2-No,1-Primary,382,382,7,11,343,382,195,187,MARYLAND,33.9,11.27
ELMWOOD ELEMENTARY,Maryland,MD ,Elmwood Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,559,559,26,292,139,559,303,256,MARYLAND,36.9,15.15
EMMA K. DOUB ELEMENTARY,Maryland,MD ,Emma K. Doub Elementary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,1-Yes,1-Primary,304,304,9,30,205,304,139,165,MARYLAND,19.94,15.25
EMMITSBURG ELEMENTARY,Maryland,MD ,Emmitsburg Elementary,Frederick County,EMMITSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,277,277,0,2,252,277,141,136,MARYLAND,21.9,12.65
EMMORTON ELEMENTARY,Maryland,MD ,Emmorton Elementary,Harford County,BEL AIR,MD ,1-Regular school,2-No,2-No,1-Primary,550,550,57,50,387,550,301,249,MARYLAND,35.3,15.58
EMPOWERMENT ACADEMY,Maryland,MD ,Empowerment Academy,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,1-Primary,288,288,0,285,0,288,147,141,MARYLAND,21,13.71
ERNEST EVERETT JUST MIDDLE,Maryland,MD ,Ernest Everett Just Middle,Prince George's County,MITCHELLVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,621,621,10,565,3,621,321,300,MARYLAND,38.3,16.21
ESPERANZA MIDDLE,Maryland,MD ,Esperanza Middle,St. Mary's County,LEXINGTON PARK,MD ,1-Regular school,2-No,2-No,2-Middle,806,806,25,187,464,806,403,403,MARYLAND,50.4,15.99
ESSEX ELEMENTARY,Maryland,MD ,Essex Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,529,529,26,45,376,529,278,251,MARYLAND,30.6,17.29
EUTAW-MARSHBURN ELEMENTARY,Maryland,MD ,Eutaw-Marshburn Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,333,333,0,318,3,333,170,163,MARYLAND,17.5,19.03
EVA TURNER ELEMENTARY SCHOOL,Maryland,MD ,Eva Turner Elementary School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,1-Primary,458,458,7,315,50,458,225,233,MARYLAND,32.42,14.13
EVENING HIGH SCHOOL,Maryland,MD ,Evening High School,Washington County,HAGERSTOWN,MD ,4-Alternative/other school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,0,†
EVERGREEN ELEMENTARY SCHOOL,Maryland,MD ,Evergreen Elementary School,St. Mary's County,CALIFORNIA,MD ,1-Regular school,2-No,2-No,1-Primary,710,710,33,76,475,710,356,354,MARYLAND,38.09,18.64
EWELL SCHOOL,Maryland,MD ,Ewell School,Somerset County,WESTOVER,MD ,1-Regular school,2-No,2-No,1-Primary,9,9,0,0,9,9,5,4,MARYLAND,–,–
EXCEL ACADEMY @ FRANCIS M. WOOD HIGH,Maryland,MD ,Excel Academy @ Francis M. Wood High,Baltimore city,BALTIMORE,MD ,4-Alternative/other school,2-No,2-No,4-Other,410,410,0,404,4,410,226,184,MARYLAND,22,18.64
EXCEL ACADEMY PUBLIC CHARTER,Maryland,MD ,Excel Academy Public Charter,Prince George's County,LANDOVER,MD ,1-Regular school,1-Yes,2-No,1-Primary,420,420,4,367,10,420,198,222,MARYLAND,31,13.55
EXTENDED DAY LEARNING PROGRAM,Maryland,MD ,Extended Day Learning Program,Baltimore County,TOWSON,MD ,4-Alternative/other school,2-No,2-No,3-High,76,76,0,32,32,76,48,28,MARYLAND,–,–
F. B. GWYNN EDUCATIONAL CENTER,Maryland,MD ,F. B. Gwynn Educational Center,Charles County,LA PLATA,MD ,4-Alternative/other school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,24,†
FAIRLAND ELEMENTARY,Maryland,MD ,Fairland Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,643,643,52,364,50,643,314,329,MARYLAND,44.4,14.48
FAIRMONT HEIGHTS HIGH,Maryland,MD ,Fairmont Heights High,Prince George's County,CAPITOL HEIGHTS,MD ,1-Regular school,2-No,1-Yes,3-High,665,665,6,554,2,665,341,324,MARYLAND,50,13.3
FALLSMEAD ELEMENTARY,Maryland,MD ,Fallsmead Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,535,535,175,37,247,535,274,261,MARYLAND,30,17.83
FALLSTAFF ELEMENTARY,Maryland,MD ,Fallstaff Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,447,447,2,292,5,447,222,225,MARYLAND,24,18.63
FALLSTON HIGH,Maryland,MD ,Fallston High,Harford County,FALLSTON,MD ,1-Regular school,2-No,2-No,3-High,1056,1056,21,34,945,1056,554,502,MARYLAND,73.25,14.42
FALLSTON MIDDLE SCHOOL,Maryland,MD ,Fallston Middle School,Harford County,FALLSTON,MD ,1-Regular school,2-No,2-No,2-Middle,879,879,22,26,766,879,433,446,MARYLAND,54.26,16.2
FARMLAND ELEMENTARY,Maryland,MD ,Farmland Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,686,686,223,36,327,686,368,318,MARYLAND,40.5,16.94
