School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2015-16,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,School Level Code [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Includes AE) [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,Male Students [Public School] 2015-16,Female Students [Public School] 2015-16,State Name [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16
APPLICATIONS AND RESEARCH LABORATORY,Maryland,MD ,Applications and Research Laboratory,Howard County,ELLICOTT CITY,MD ,4-Alternative/other school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,28,†
ARBUTUS ELEMENTARY,Maryland,MD ,Arbutus Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,448,448,83,39,272,448,222,226,MARYLAND,24.6,18.21
ARBUTUS MIDDLE,Maryland,MD ,Arbutus Middle,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,830,830,93,147,502,830,404,426,MARYLAND,53.7,15.46
ARCOLA ELEMENTARY,Maryland,MD ,Arcola Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,701,701,60,126,17,701,358,343,MARYLAND,59,11.88
ARDMORE ELEMENTARY,Maryland,MD ,Ardmore Elementary,Prince George's County,SPRINGDALE,MD ,1-Regular school,2-No,2-No,1-Primary,493,493,7,425,3,493,232,261,MARYLAND,30.64,16.09
ARGYLE MIDDLE,Maryland,MD ,Argyle Middle,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,1-Yes,2-Middle,912,912,94,279,91,912,522,390,MARYLAND,59.04,15.45
ARLINGTON ELEMENTARY/MIDDLE,Maryland,MD ,Arlington Elementary/Middle,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,605,605,3,538,0,605,321,284,MARYLAND,35.5,17.04
ARMISTEAD GARDENS ELEMENTARY,Maryland,MD ,Armistead Gardens Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,709,709,14,82,187,709,366,343,MARYLAND,43.5,16.3
ARNOLD ELEMENTARY,Maryland,MD ,Arnold Elementary,Anne Arundel County,ARNOLD,MD ,1-Regular school,2-No,2-No,1-Primary,388,388,9,16,342,388,193,195,MARYLAND,25.2,15.4
ARROWHEAD ELEMENTARY,Maryland,MD ,Arrowhead Elementary,Prince George's County,UPPER MARLBORO,MD ,1-Regular school,2-No,2-No,1-Primary,317,317,1,252,10,317,173,144,MARYLAND,31.18,10.17
ARTHUR MIDDLETON ELEMENTARY SCHOOL,Maryland,MD ,Arthur Middleton Elementary School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,1-Primary,440,440,20,268,54,440,222,218,MARYLAND,28.01,15.71
ARUNDEL ELEMENTARY/MIDDLE,Maryland,MD ,Arundel Elementary/Middle,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,394,394,0,388,2,394,223,171,MARYLAND,27.5,14.33
ARUNDEL HIGH,Maryland,MD ,Arundel High,Anne Arundel County,GAMBRILLS,MD ,1-Regular school,2-No,2-No,3-High,2043,2043,110,489,1132,2043,1013,1030,MARYLAND,115.08,17.75
ARUNDEL MIDDLE,Maryland,MD ,Arundel Middle,Anne Arundel County,ODENTON,MD ,1-Regular school,2-No,2-No,2-Middle,980,980,38,208,561,980,492,488,MARYLAND,66.82,14.67
ASHBURTON ELEMENTARY,Maryland,MD ,Ashburton Elementary,Montgomery County,BETHESDA,MD ,1-Regular school,2-No,2-No,1-Primary,911,911,149,134,410,911,475,436,MARYLAND,51.6,17.66
ATHOLTON ELEMENTARY,Maryland,MD ,Atholton Elementary,Howard County,COLUMBIA,MD ,1-Regular school,2-No,2-No,1-Primary,424,424,28,77,238,424,231,193,MARYLAND,30,14.13
ATHOLTON HIGH,Maryland,MD ,Atholton High,Howard County,COLUMBIA,MD ,1-Regular school,2-No,2-No,3-High,1437,1437,270,285,700,1437,745,692,MARYLAND,97.6,14.72
AUGUSTA FELLS SAVAGE INSTITUTE OF VISUAL ARTS,Maryland,MD ,Augusta Fells Savage Institute of Visual Arts,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,447,447,0,438,6,447,237,210,MARYLAND,31,14.42
AVALON ELEMENTARY,Maryland,MD ,Avalon Elementary,Prince George's County,FORT WASHINGTON,MD ,1-Regular school,2-No,2-No,1-Primary,414,414,6,315,8,414,225,189,MARYLAND,24.3,17.04
BADEN ELEMENTARY,Maryland,MD ,Baden Elementary,Prince George's County,BRANDYWINE,MD ,1-Regular school,2-No,2-No,1-Primary,264,264,1,118,93,264,144,120,MARYLAND,18.76,14.07
BAINBRIDGE ELEMENTARY,Maryland,MD ,Bainbridge Elementary,Cecil County,PORT DEPOSIT,MD ,1-Regular school,2-No,2-No,1-Primary,532,532,0,19,450,532,274,258,MARYLAND,34.9,15.24
BAKERFIELD ELEMENTARY,Maryland,MD ,Bakerfield Elementary,Harford County,ABERDEEN,MD ,1-Regular school,2-No,2-No,1-Primary,415,415,22,127,152,415,200,215,MARYLAND,31.1,13.34
BALLENGER CREEK ELEMENTARY,Maryland,MD ,Ballenger Creek Elementary,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,1-Primary,657,657,48,136,282,657,321,336,MARYLAND,40.3,16.3
BALLENGER CREEK MIDDLE,Maryland,MD ,Ballenger Creek Middle,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,2-Middle,712,712,51,122,395,712,368,344,MARYLAND,45.7,15.58
BALTIMORE CITY COLLEGE,Maryland,MD ,Baltimore City College,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,1319,1319,20,1066,167,1319,543,776,MARYLAND,75,17.59
BALTIMORE COLLEGIATE SCHOOL FOR BOYS,MARYLAND,MD ,Baltimore Collegiate School for Boys,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,2-Middle,188,188,0,183,0,188,188,0,MARYLAND,15,12.53
BALTIMORE COMMUNITY HIGH SCHOOL,Maryland,MD ,Baltimore Community High School,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,488,488,3,379,16,488,283,205,MARYLAND,21.5,22.7
BALTIMORE COUNTY HOME & HOSPITAL,Maryland,MD ,Baltimore County Home & Hospital,Baltimore County,TOWSON,MD ,4-Alternative/other school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,0,†
BALTIMORE DESIGN SCHOOL,Maryland,MD ,Baltimore Design School,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,4-Other,488,488,0,453,22,488,149,339,MARYLAND,30,16.27
BALTIMORE HIGHLANDS ELEMENTARY,Maryland,MD ,Baltimore Highlands Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,713,713,15,162,213,713,351,362,MARYLAND,46.9,15.2
BALTIMORE I.T. ACADEMY,Maryland,MD ,Baltimore I.T. Academy,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,236,236,0,234,0,236,143,93,MARYLAND,17.5,13.49
BALTIMORE INTERNATIONAL ACADEMY,Maryland,MD ,Baltimore International Academy,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,1-Primary,662,662,2,572,42,662,309,353,MARYLAND,37,17.89
BALTIMORE LEADERSHIP SCHOOL FOR YOUNG WOMEN,Maryland,MD ,Baltimore Leadership School for Young Women,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,4-Other,539,539,2,518,9,539,1,538,MARYLAND,38,14.18
BALTIMORE MONTESSORI PUBLIC CHARTER MIDDLE SCHOOL,Maryland,MD ,Baltimore Montessori Public Charter Middle School,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,2-Middle,104,104,1,51,41,104,44,60,MARYLAND,5.5,18.91
BALTIMORE MONTESSORI PUBLIC CHARTER SCHOOL,Maryland,MD ,Baltimore Montessori Public Charter School,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,1-Primary,284,284,5,126,122,284,138,146,MARYLAND,13,21.85
